hseb_code,school_code
1413,140110019
1218,120250002
1027,100030005
917,90180001
829,80300009
811,80040001
806,80110005
741,70050011
740,70120004
732,70150028
722,70100009
640,60070012
629,60410005
462,40250008
230,20030001
210,20040001
202,20370001
129,10010002
122,10220006
120,10120001
5419,540270009
4972,490330002
3062,300280014
2598,250230005
1437,140210004
1614,160450007
1509,150390002
8404,490620018
8122,250270024
7855,270140007
7747,270310054
7743,270310088
7712,270310039
7703,270330016
7517,750180002
7327,730060001
6921,690050010
5741,570320026
5420,540210006
5111,510240005
4878,480020077
4850,480050240
4720,470440008
4048,400220026
3910,390240013
3829,380310008
3129,310200029
3115,310160001
2910,290090012
2844,280530004
2824,280080024
2702,270310290
2651,260030121
2618,260030048
2589,250270025
2361,230060014
1847,180480004
617,60180132
545,50070001
496,40120011
232,20180001
7775,270510003
5750,570320040
3917,390130011
3311,330750015
238,20270002
8302,50220009
8118,250300010
7778,270310011
7725,270150006
7705,270280012
7655,270150005
7504,750090008
7231,720110008
7035,700150006
7029,700110006
6912,690380003
6843,680270003
6810,680260002
6122,610200014
6013,600090001
5706,570320085
5416,540040012
5409,540070001
5406,540010002
5308,530220001
5223,520040009
5135,510330001
4895,480050251
4801,480050236
4718,470250009
4635,460540007
4543,450160012
4102,410020006
3993,390080001
3960,390320003
3839,380240010
3811,380110047
3234,320200002
3068,300070008
3060,300180011
2843,280260007
2833,280290009
2822,280210007
2765,270280020
2751,270350007
2634,260040007
2628,260120033
2492,240350004
2488,240060008
2456,240310004
2403,240060040
2352,230300007
2333,230370003
2243,220120002
2134,210020005
2124,210040001
2102,210350001
1559,151140005
1202,120440005
1129,110080002
1128,110010009
1119,110130002
1021,100060007
909,90130026
827,80090007
820,80130001
704,70290007
548,50140034
493,40350007
474,40090006
433,40100013
223,20200001
209,20260001
127,10320012
8368,50510011
8361,50120001
8359,50160002
7956,270310161
7714,270450004
7617,270310880
7221,720190003
6931,690240001
6812,680040004
6105,610020001
6102,610040003
5664,560350011
5444,540270023
5053,500150019
4623,460110006
