hseb_code,school_code
3337,330380003
3342,330140001
3352,330750023
3353,330780001
3357,330680007
3358,330340012
3360,330520053
3362,330090003
5803,580150009
5808,580070001
5828,580070001
5812,580320001
5818,580080009
5819,580130001
5820,580030014
5821,580010001
5823,580030001
5826,580030001
5824,580230002
5825,580070010
5827,580110029
5829,580030006
5830,580030004
5832,580110008
5833,580010004
5841,580010004
5836,580290004
5838,580030007
5839,580080012
5843,580130018
5846,580110045
5848,580040009
5849,580040008
2601,260120053
2605,260120015
2606,260120052
2610,260030021
2612,260030069
2613,260040002
2616,260080011
2618,260030048
2620,260120049
2621,260070010
2623,260030100
2624,260060006
2626,260090008
2632,260090008
2628,260120033
2629,260120065
2635,260030023
2636,260170009
2637,260140006
2638,260030005
2634,260040007
2640,260030024
2651,260030121
2653,260120032
2654,260180011
1002,100080006
1011,100080006
1003,100050002
1004,100380009
1005,100080001
1006,100190007
1009,100190007
1012,100150003
1022,100150003
1013,100050003
1014,100470002
1015,100030002
1016,100300003
1017,100360005
1019,100520005
1021,100060007
1024,100620005
1026,100060006
1027,100030005
1028,100010004
1029,100400005
1033,100290006
3599,350050006
8507,350100016
3597,350330017
8510,350320013
8511,350050048
8512,350050089
8513,350050021
8517,350250007
8518,350010010
8519,350050005
8520,350200001
7302,730010003
7303,730030011
7315,730030011
7305,730030025
7306,730020013
7324,730020013
7307,730060002
7308,730030028
7309,730070003
7310,730030008
7325,730030008
7312,730030027
7313,730100006
7314,730020012
7316,730030023
7330,730030023
7317,730150001
7321,730150001
7319,730070001
7328,730070001
7320,730020009
7323,730130021
7326,730090002
7327,730060001
7333,730030036
6001,600350001
6004,600120001
6009,600200001
6010,600110005
6011,600120005
6013,600090001
6014,600010011
6033,600010011
6041,600010011
6047,600010011
6016,600020001
6027,600020001
6040,600020001
6017,600130001
6018,600220002
6019,600120026
6021,600300001
6024,600110001
6037,600110001
6026,600330007
6029,600350015
6030,600190001
6031,600500001
6032,600500001
6042,600350028
6046,600100002
6049,600230007
6050,600170003
5606,560010009
5633,560010009
