school-code,ng,E,D,D+,C,C+,B,B+,A,A+,total,class,year
3037,25,0,0,0,0,1,8,0,0,0,34,12,2079
3038,9,0,0,0,0,0,12,12,0,0,33,12,2079
3039,13,0,0,0,0,2,18,4,0,0,37,12,2079
3040,3,0,0,0,0,0,11,6,0,0,20,12,2079
3041,17,0,0,0,0,1,7,4,0,0,29,12,2079
3042,4,0,0,0,0,1,22,9,0,0,36,12,2079
3043,9,0,0,0,0,0,6,2,0,0,17,12,2079
3044,47,0,0,0,0,0,0,2,1,0,50,12,2079
3045,33,0,0,0,0,7,3,0,0,0,43,12,2079
3046,50,0,0,0,0,6,22,5,0,0,83,12,2079
3047,7,0,0,0,0,0,7,19,0,0,33,12,2079
3048,14,0,0,0,0,0,1,5,3,1,24,12,2079
3049,23,0,0,0,0,4,4,4,0,0,35,12,2079
3050,14,0,0,0,0,0,2,4,0,0,20,12,2079
3051,45,0,0,0,0,2,1,0,3,0,51,12,2079
3052,23,0,0,0,0,1,4,2,1,0,31,12,2079
3053,13,0,0,0,0,3,13,7,1,0,37,12,2079
3054,26,0,0,0,0,0,5,16,7,0,54,12,2079
3055,9,0,0,0,0,1,4,3,1,0,18,12,2079
3056,62,0,0,0,0,2,26,6,1,0,97,12,2079
3057,24,0,0,0,0,0,8,12,9,1,54,12,2079
3058,9,0,0,0,0,2,7,5,3,0,26,12,2079
3059,11,0,0,0,0,0,2,0,0,0,13,12,2079
3060,26,0,0,0,0,0,6,5,0,0,37,12,2079
3061,18,0,0,0,0,1,14,10,0,0,43,12,2079
3062,23,0,0,0,0,7,2,0,0,0,32,12,2079
3063,0,0,0,0,0,0,0,0,0,0,0,12,2079
3064,9,0,0,0,0,5,4,2,0,0,20,12,2079
3065,5,0,0,0,0,3,10,5,0,0,23,12,2079
3066,10,0,0,0,0,2,10,6,1,0,29,12,2079
3067,14,0,0,0,0,1,5,2,0,0,22,12,2079
3068,9,0,0,0,0,0,2,4,0,0,15,12,2079
